Time,PM10,
2019-05-18T02:00:00,11.3498,
2019-05-18T03:00:00,10.0958,
2019-05-18T04:00:00,9.77856,
2019-05-18T05:00:00,15.2105,
2019-05-18T06:00:00,12.9252,
2019-05-18T07:00:00,8.19852,
2019-05-18T08:00:00,6.63446,
2019-05-18T09:00:00,7.07761,
2019-05-18T10:00:00,7.73019,
2019-05-18T11:00:00,12.1546,
2019-05-18T12:00:00,9.55965,
2019-05-18T13:00:00,9.33856,
2019-05-18T14:00:00,9.85954,
2019-05-18T15:00:00,17.0832,
2019-05-18T16:00:00,13.2098,
2019-05-18T17:00:00,12.0087,
2019-05-18T18:00:00,12.9211,
2019-05-18T19:00:00,9.59932,
2019-05-18T20:00:00,13.1296,
2019-05-18T21:00:00,10.9076,
2019-05-18T22:00:00,13.2253,
2019-05-18T23:00:00,18.8046,
2019-05-19T00:00:00,9.89838,
2019-05-19T01:00:00,6.78915,
2019-05-19T02:00:00,9.04736,
2019-05-19T03:00:00,12.9198,
2019-05-19T04:00:00,8.47282,
2019-05-19T05:00:00,12.1733,
2019-05-19T06:00:00,12.8844,
2019-05-19T07:00:00,12.7658,
2019-05-19T08:00:00,16.2068,
2019-05-19T09:00:00,5.60577,
2019-05-19T10:00:00,6.14493,
2019-05-19T11:00:00,5.83701,
2019-05-19T12:00:00,3.69238,
2019-05-19T13:00:00,9.35611,
2019-05-19T14:00:00,10.064,
2019-05-19T15:00:00,10.2664,
2019-05-19T16:00:00,12.2334,
2019-05-19T17:00:00,13.3347,
2019-05-19T18:00:00,11.4784,
2019-05-19T19:00:00,11.9967,
2019-05-19T20:00:00,16.7515,
2019-05-19T21:00:00,11.8351,
2019-05-19T22:00:00,13.8204,
2019-05-19T23:00:00,12.4615,
2019-05-20T00:00:00,22.3405,
2019-05-20T01:00:00,53.6252,
2019-05-20T02:00:00,45.7546,
2019-05-20T03:00:00,15.8767,
2019-05-20T04:00:00,26.1153,
2019-05-20T05:00:00,15.3118,
2019-05-20T06:00:00,11.8439,
2019-05-20T07:00:00,29.2811,
2019-05-20T08:00:00,10.1402,
2019-05-20T09:00:00,17.6217,
2019-05-20T10:00:00,14.7733,
2019-05-20T11:00:00,18.6947,
2019-05-20T12:00:00,20.2036,
2019-05-20T13:00:00,19.5756,
2019-05-20T14:00:00,6.67411,
2019-05-20T15:00:00,14.3884,
2019-05-20T16:00:00,7.21514,
2019-05-20T17:00:00,7.47299,
2019-05-20T18:00:00,6.67327,
2019-05-20T19:00:00,7.04282,
2019-05-20T20:00:00,9.13583,
2019-05-20T21:00:00,6.1775,
2019-05-20T22:00:00,5.17664,
2019-05-20T23:00:00,6.24298,
2019-05-21T00:00:00,4.19014,
2019-05-21T01:00:00,5.44457,
2019-05-21T02:00:00,6.52837,
2019-05-21T03:00:00,5.76377,
2019-05-21T04:00:00,2.70841,
2019-05-21T05:00:00,3.16665,
2019-05-21T06:00:00,3.6851,
2019-05-21T07:00:00,4.65751,
2019-05-21T08:00:00,15.031,
2019-05-21T09:00:00,,
2019-05-21T10:00:00,,
2019-05-21T11:00:00,,14.7248
2019-05-21T12:00:00,,8.52793
2019-05-21T13:00:00,,5.15328
2019-05-21T14:00:00,,3.10021
2019-05-21T15:00:00,,5.10877
2019-05-21T16:00:00,,13.6402
2019-05-21T17:00:00,,10.2717
2019-05-21T18:00:00,,17.3017
2019-05-21T19:00:00,,9.29688
2019-05-21T20:00:00,,18.4542
2019-05-21T21:00:00,,19.6952
2019-05-21T22:00:00,,8.41852
2019-05-21T23:00:00,,9.79876
2019-05-22T00:00:00,,8.70442
2019-05-22T01:00:00,,8.39028
2019-05-22T02:00:00,,8.50298
2019-05-22T03:00:00,,13.1422
2019-05-22T04:00:00,,8.92323
2019-05-22T05:00:00,,8.69693
2019-05-22T06:00:00,,5.8368
2019-05-22T07:00:00,,6.41133
2019-05-22T08:00:00,,8.24605
2019-05-22T09:00:00,,4.17282
2019-05-22T10:00:00,,1.80082
2019-05-22T11:00:00,,6.04206
2019-05-22T12:00:00,,9.23619
2019-05-22T13:00:00,,5.71561
2019-05-22T14:00:00,,2.7579
2019-05-22T15:00:00,,7.77041
2019-05-22T16:00:00,,5.54562
2019-05-22T17:00:00,,2.17235
2019-05-22T18:00:00,,7.29259
2019-05-22T19:00:00,,4.99873
2019-05-22T20:00:00,,10.8158
2019-05-22T21:00:00,,5.89762
2019-05-22T22:00:00,,8.68925
2019-05-22T23:00:00,,6.2527
2019-05-23T00:00:00,,4.35121
2019-05-23T01:00:00,,4.35037
2019-05-23T02:00:00,,6.42093
2019-05-23T03:00:00,,4.83585
2019-05-23T04:00:00,,8.48982
2019-05-23T05:00:00,,10.5976
2019-05-23T06:00:00,,10.6682
2019-05-23T07:00:00,,11.753
2019-05-23T08:00:00,,10.3707
2019-05-23T09:00:00,,13.5918
2019-05-23T10:00:00,,11.8465
2019-05-23T11:00:00,,7.18835
2019-05-23T12:00:00,,6.32375
2019-05-23T13:00:00,,7.76118
2019-05-23T14:00:00,,14.2802
2019-05-23T15:00:00,,9.28719
2019-05-23T16:00:00,,8.80789
2019-05-23T17:00:00,,6.63712
2019-05-23T18:00:00,,7.06527
2019-05-23T19:00:00,,10.5144
2019-05-23T20:00:00,,6.70973
2019-05-23T21:00:00,,7.95211
2019-05-23T22:00:00,,11.2548
2019-05-23T23:00:00,,12.4089
2019-05-24T00:00:00,,14.6699
2019-05-24T01:00:00,,30.5263
2019-05-24T02:00:00,,24.9017
2019-05-24T03:00:00,,35.5119
2019-05-24T04:00:00,,16.4785
2019-05-24T05:00:00,,34.1574
2019-05-24T06:00:00,,25.7835
2019-05-24T07:00:00,,18.5151
2019-05-24T08:00:00,,18.8006
2019-05-24T09:00:00,,25.5321
2019-05-24T10:00:00,,6.04111
2019-05-24T11:00:00,,12.8549
2019-05-24T12:00:00,,11.3075
2019-05-24T13:00:00,,14.9225
2019-05-24T14:00:00,,12.1236
2019-05-24T15:00:00,,11.3607
2019-05-24T16:00:00,,14.6675
2019-05-24T17:00:00,,16.5232
2019-05-24T18:00:00,,24.9055
2019-05-24T19:00:00,,17.7277
2019-05-24T20:00:00,,18.9624
2019-05-24T21:00:00,,19.8399
2019-05-24T22:00:00,,34.9234
2019-05-24T23:00:00,,36.5592
2019-05-25T00:00:00,,44.2474
2019-05-25T01:00:00,,46.5902
2019-05-25T02:00:00,,50.9567
2019-05-25T03:00:00,,66.1645
2019-05-25T04:00:00,,51.081
2019-05-25T05:00:00,,42.5667
2019-05-25T06:00:00,,33.9788
2019-05-25T07:00:00,,27.2868
2019-05-25T08:00:00,,17.2163
2019-05-25T09:00:00,,12.951
2019-05-25T10:00:00,,14.8868
2019-05-25T11:00:00,,16.2737
2019-05-25T12:00:00,,18.3617
2019-05-25T13:00:00,,23.0093
2019-05-25T14:00:00,,23.6289
2019-05-25T15:00:00,,20.3593
2019-05-25T16:00:00,,15.3282
2019-05-25T17:00:00,,16.9809
2019-05-25T18:00:00,,23.6009
2019-05-25T19:00:00,,15.4775
2019-05-25T20:00:00,,28.5734
2019-05-25T21:00:00,,23.2297
2019-05-25T22:00:00,,23.9274
2019-05-25T23:00:00,,15.8493
2019-05-26T00:00:00,,18.0722
2019-05-26T01:00:00,,17.1826
2019-05-26T02:00:00,,16.6274
2019-05-26T03:00:00,,15.46
2019-05-26T04:00:00,,11.4958
2019-05-26T05:00:00,,18.5702
2019-05-26T06:00:00,,20.7229
2019-05-26T07:00:00,,19.8177
2019-05-26T08:00:00,,25.0785
2019-05-26T09:00:00,,19.3036
2019-05-26T10:00:00,,13.0431
2019-05-26T11:00:00,,17.0241
2019-05-26T12:00:00,,9.5135
2019-05-26T13:00:00,,10.7715
2019-05-26T14:00:00,,14.6918
2019-05-26T15:00:00,,17.6034
2019-05-26T16:00:00,,16.3191
2019-05-26T17:00:00,,20.3957
2019-05-26T18:00:00,,11.349
2019-05-26T19:00:00,,12.5671
2019-05-26T20:00:00,,15.7963
2019-05-26T21:00:00,,12.0217
2019-05-26T22:00:00,,18.5903
2019-05-26T23:00:00,,27.2359
2019-05-27T00:00:00,,36.245
2019-05-27T01:00:00,,38.3838
2019-05-27T02:00:00,,39.2939
2019-05-27T03:00:00,,35.3403
2019-05-27T04:00:00,,51.5688
2019-05-27T05:00:00,,51.8381
2019-05-27T06:00:00,,35.9725
2019-05-27T07:00:00,,35.6895
2019-05-27T08:00:00,,33.0622
2019-05-27T09:00:00,,32.2777
2019-05-27T10:00:00,,28.996
2019-05-27T11:00:00,,24.8431
2019-05-27T12:00:00,,16.8339
2019-05-27T13:00:00,,21.1642
2019-05-27T14:00:00,,14.8717
2019-05-27T15:00:00,,17.725
2019-05-27T16:00:00,,17.5077
2019-05-27T17:00:00,,10.4857
2019-05-27T18:00:00,,8.82452
2019-05-27T19:00:00,,11.6384
2019-05-27T20:00:00,,14.5932
2019-05-27T21:00:00,,13.7084
2019-05-27T22:00:00,,12.6006
2019-05-27T23:00:00,,11.7172
2019-05-28T00:00:00,,8.94608
2019-05-28T01:00:00,,13.6132
2019-05-28T02:00:00,,7.12239
2019-05-28T03:00:00,,9.26699
2019-05-28T04:00:00,,7.92414
2019-05-28T05:00:00,,5.65503
2019-05-28T06:00:00,,5.74123
2019-05-28T07:00:00,,3.39464
2019-05-28T08:00:00,,1.74558
2019-05-28T09:00:00,,12.0937
2019-05-28T10:00:00,,12.253
2019-05-28T11:00:00,,15.4798
2019-05-28T12:00:00,,16.1941
2019-05-28T13:00:00,,16.061
2019-05-28T14:00:00,,11.9066
2019-05-28T15:00:00,,18.2222
2019-05-28T16:00:00,,13.3303
2019-05-28T17:00:00,,13.8388
2019-05-28T18:00:00,,9.36177
2019-05-28T19:00:00,,11.4797
2019-05-28T20:00:00,,13.2024
2019-05-28T21:00:00,,19.1928
2019-05-28T22:00:00,,14.3993
2019-05-28T23:00:00,,20.6152
2019-05-29T00:00:00,,22.4544
2019-05-29T01:00:00,,12.7072
2019-05-29T02:00:00,,9.37612
2019-05-29T03:00:00,,5.99288
2019-05-29T04:00:00,,14.5002
2019-05-29T05:00:00,,11.9527
2019-05-29T06:00:00,,13.1655
2019-05-29T07:00:00,,12.0807
2019-05-29T08:00:00,,8.5527
2019-05-29T09:00:00,,11.176
2019-05-29T10:00:00,,12.7751
2019-05-29T11:00:00,,11.543
2019-05-29T12:00:00,,11.2787
2019-05-29T13:00:00,,10.9626
2019-05-29T14:00:00,,15.6871
2019-05-29T15:00:00,,16.2417
2019-05-29T16:00:00,,12.5474
2019-05-29T17:00:00,,12.0975
2019-05-29T18:00:00,,13.0529
2019-05-29T19:00:00,,12.507
2019-05-29T20:00:00,,7.70917
2019-05-29T21:00:00,,14.9549
2019-05-29T22:00:00,,18.8997
2019-05-29T23:00:00,,16.5563
2019-05-30T00:00:00,,11.9804
2019-05-30T01:00:00,,14.0744
2019-05-30T02:00:00,,16.0886
2019-05-30T03:00:00,,12.7859
2019-05-30T04:00:00,,17.4872
2019-05-30T05:00:00,,17.5553
2019-05-30T06:00:00,,57.3369
2019-05-30T07:00:00,,36.1107
2019-05-30T08:00:00,,21.6384
2019-05-30T09:00:00,,8.76045
2019-05-30T10:00:00,,10.2686
2019-05-30T11:00:00,,10.2253
2019-05-30T12:00:00,,9.42429
2019-05-30T13:00:00,,5.03838
2019-05-30T14:00:00,,2.55917
2019-05-30T15:00:00,,7.95887
2019-05-30T16:00:00,,7.59346
2019-05-30T17:00:00,,11.8982
2019-05-30T18:00:00,,10.3775
2019-05-30T19:00:00,,7.86683
2019-05-30T20:00:00,,9.70617
2019-05-30T21:00:00,,8.56687
2019-05-30T22:00:00,,18.441
2019-05-30T23:00:00,,32.4267
2019-05-31T00:00:00,,30.0174
2019-05-31T01:00:00,,37.4281
2019-05-31T02:00:00,,47.7489
2019-05-31T03:00:00,,26.0618
2019-05-31T04:00:00,,22.9689
2019-05-31T05:00:00,,18.1345
2019-05-31T06:00:00,,19.0471
2019-05-31T07:00:00,,22.3031
2019-05-31T08:00:00,,37.0092
2019-05-31T09:00:00,,31.0284
